"46";"Pilot vazduhoplova približava se planini leteći niz vetar,nekoliko stotina stopa (fita) iznad nivoa grebena,osmatrajući sočivaste oblake. Na koje uslove pilot može naići prilikom nastavka leta?";"Jaka nisponska strujanja pre neposrednog prelaska grebena, sa jakim usponskim strujanjem nakon prelaska grebena na uzvetarnoj strani planine";"Jaka katabatska vazdušna strujanja na vrhu grebena";"Jaka katabatska nisponska strujanja I turbulenciju nakon prelaska preko grebena";"Jaka usponska strujanja pre prelaska vrha grebena i jaka nisponska strujanja nakon prelaska vrha grebena";"a";"Meteorologija"
"47";"Vazduh je stabilan kada:";"Ne postoji sila uzgona vazduha, vazduh pokušava da se vrati na svoju izvornu poziciju";"Ima vrlo malo pomeranje";"Ima malo promene u pritisku";"Ne postoji sila uzgona vazduha, vazduh nastavlja da";"a";"Meteorologija"
"48";"Stvarna promena temperature poznata je kao:";"ELR(vertikalni temperaturni gradijent okolnog vazduha)";"DALR(Suvo adijabatski vertikalni temperaturni gradijent)";"Temperaturna kriva";"Tepigram";"a";"Meteorologija"
"49";"Vazduhoplov leti u blizini nizbrdice, koja se prostire u pravcu sever-jug, preko koje vetar duva u pravcu zapad –istok. Koja od navedenih situacija može dovesti vazduhoplov u polje opasnih nisponskih strujanja?";"Kada leti od istoka ka zapadu u pravcu brda";"Kada leti od zapada ka istoku u pravcu brda";"Kada leti od juga ka zapadu u pravcu brda";"Kada leti od Severa ka jugu u pravcu brda Najnovije informacije u vezi ispita možete pronaći na www.cad.gov.rs/osoblje.php 9 / 29 PPL - Vazduhoplovna meteorologija";"a";"Meteorologija"
"50";"Šta je od sledećih tvrđenja tačno u vezi najnižeg nivoa smicanja vetra";"Može se javiti 15 do 20 milja ispred brzo nadolazeće oluje sa grmljavinom";"Retko se pojavljuje na prostoru gde postoji sloj jake temperaturne inverzije blizu zemljine površine";"Jedino se može naći ispod vrha nakovnja kongestusa";"Jedino se može naći na granicama jakih nisponskih strujanja";"a";"Meteorologija"
"51";"U uslovima planinskog talasa, na najizraženiju turbulenciju se najverovatnije se može naići prilikom letenja:";"Kroz ili tačno ispod cevastih oblaka( Roll oblaka)";"Na međuvisini između lentikularnih i roll oblaka";"Kroz vrh oblaka";"Kroz lentikularni oblak";"a";"Meteorologija"
"52";"Koje od sledećih tvrđenja karakteriše nestabilni vazduh?";"Kumulusi sa pljuskovima i dobra vidljivost van zone pljuskova";"Stratusi sa pljuskovima i prilično loša vidljivost";"Stratusi sa lošom vidljivošću i povremenom rosuljom";"Kumulusi sa neprekidnim padavinama i osrednja vidljivost";"a";"Meteorologija"
"53";"Šta će se desiti ukoliko vazduhoplov leti nisko blizu planinske oblasti na kojoj duva veoma jak vetar: I. Jaka turbulencija ispod ili iznad zone rotora II. Nisponska strujanja koja mogu premašiti stopu penjanja vazduhoplova III. Rizik od zaleđivanja biće veći od normalnog prilikom leta kroz oblake iznad planinskog venca IV. Lentikularne oblake";"I,II,III i IV je ispravno";"Samo I i III je ispravno";"Samo I i II je ispravno";"Samo I, II i III je ispravno";"a";"Meteorologija"
"54";"Jedan ili više obojenih prstenova oko sunca ili meseca mogu nagovestiti prisustvo kojeg tipa oblaka?";"Altostratuse";"Ciruse";"Stratuse";"Cirokumuluse";"a";"Meteorologija"
"55";"Ako je data temperatura +21°C i tačka rose +7°C, aproksimativno na kojoj će visini biti baza oblaka kumulusa?";"5600 ft";"560 ft";"56,000 ft";"4000 ft Najnovije informacije u vezi ispita možete pronaći na www.cad.gov.rs/osoblje.php 10 / 29 PPL - Vazduhoplovna meteorologija";"a";"Meteorologija"
"56";"Iz kojeg tipa oblaka najčešće pada grad?";"CB";"NS";"AC";"AS";"a";"Meteorologija"
"57";"Na osnovu ponuđenih odgovora izaberite Niske, Srednje i Visoke oblake po rastućem nizu";"Stratusi,Altokumulusi,Cirusi";"Nimbostratusi,Kumulonimbusi,Cirusi";"Altostratusi,Altokumulusi,Cirusi";"Cirusi,Kumulonimbusi,Stratusi";"a";"Meteorologija"
"58";"Upotreba sufiksa “nimbus” ili prefiksa “nimbo” se odnosi na ?";"Ležište kiše";"Tanak, odvojen ili vlaknast";"Umerena hladnoća";"Tamno i opasno";"a";"Meteorologija"
"59";"Padavina koju prouzrokuje stratus je";"Rosulja";"Jaki pljuskovi";"Jaka kiša";"Slabi pljuskovi";"a";"Meteorologija"
"60";"Nestabilan vazduh je prisiljen da se podiže sa jedne strane planine. Kakvo vreme se može očekivati na obroncima planine koje su izložene vetru?";"Oblak sa izraženim vertikalnim razvojem";"Gust stratus tip oblaka, najverovatnije nimbostratus";"Bez promena, pošto će vazduh početi da pada zbog adijabatskog zagrevanja nakon prelaska vrha planine";"Oblaci neposredno iznad vrhova planina (Cap clouds) sa mogućim lentikularnim altokumulusima";"a";"Meteorologija"
"61";"Koju uslovi mora da postoje da bi došlo da razvoja oluje sa grmljavinom:";"Međusobna reakcija velike količine vlage i strmog gradijenta temperature izraženog kroz povećanje vertikalnog gradijenta";"Međusobna reakcija velike količine vlage i veoma stabilne atmosfere";"Međusobna reakcija , stabilne atmosfere, izražene kroz povećanje strmog gradijenta temperature, i velike količine vlage";"Međusobna reakcija strmog gradijenta temperature, izraženog kroz povećanje vertikalnog gradijenta ,i niske relativne vlažnosti Najnovije informacije u vezi ispita možete pronaći na www.cad.gov.rs/osoblje.php 11 / 29 PPL - Vazduhoplovna meteorologija";"a";"Meteorologija"
"62";"Koja od ponuđenih kombinacija parametara vremena dovodi do pojave kumulo tipa oblaka, dobre vidljivosti, kišnih pljuskova i mogućnosti pojave ledenih kristala u oblacima ?";"Nestabilan vlažan vazduh i orografsko podizanje vazduha";"Stabilan, vlažan vazduh i orografsko podizanje vazduha";"Nestabilan vlažan vazduh bez podizanja vazduha";"Stabilan, suv vazduh i orografsko podizanje vazduha";"a";"Meteorologija"
"63";"Turbulencija, smicanje vetra, zaleđivanje, slabe i jake padavine asociraju na pojavu kumulonimbusa. Koje od sledećih tvrđenja je tačno?";"Navedene rizične situacije se mogu izbeći ukoliko se ne leti blizu oblaka ili kroz oblak";"Rizik postojanja opasnih situacija je veoma mali";"Jake padavine se mogu javiti izvan oblaka , ali pojava turbulencije i zaleđivanja je ograničena na prostor unutar oblaka";"Sve rizične situacije se mogu susresti unutar ili blizu oblaka";"a";"Meteorologija"
"64";"Tokom _____ ćelije grmljavinske nepogode, oblak sadrži_______.";"Faze zrelosti / uspona i nispona strujanja vazduha";"Početne faze / uspona i nispona strujanja vazduha";"Faze rasturanja / uspona i nispona strujanja vazduha";"Početne faze / samo nispona strujanja";"a";"Meteorologija"
"65";"Koju fazu grmljavinske nepogode karakterišu pretežno nispona strujanja";"Fazu rasturanja";"Početnu fazu";"Fazu zrelosti";"Kumulus fazu";"a";"Meteorologija"
"66";"Za razvoj kumulonimbusa, neophodno je da postoji?";"Dubok nivo veoma nestabilnog vlažnog vazduha";"Plitak nivo veoma nestabilnog vlažnog vazduha";"Dubok nivo veoma nestabilnog vlažnog vazduha sa blagim temperaturnim gradijentom";"Plitak nivo veoma nestabilnog vazduha sa strmim temperaturnim gradijentom";"a";"Meteorologija"
"67";"Koju fazu grmljavinske nepogode karakterišu samo uspona strujanja?";"Početnu fazu";"Fazu zrelosti";"Fazu rasturanja";"Završnu fazu";"a";"Meteorologija"
"68";"Koji od sledećih uslova najverovatnije prouzrokuje grmljavinske nepogode ?";"Visok sadržaj vlage sa strmim temperaturnim gradijentom";"Visok sadržaj vlage sa blagim temperaturnim gradijentom";"Mali sadržaj vlage sa strmim temperaturnim gradijentom";"Mali sadržaj vlage sa blagim temperaturnim gradijentom Najnovije informacije u vezi ispita možete pronaći na www.cad.gov.rs/osoblje.php 12 / 29 PPL - Vazduhoplovna meteorologija";"a";"Meteorologija"
"69";"Rizične situacije po vazduhoplov koje su prouzrokovane pojavom kumulonimbusa ili grmljavinskim nepogodama mogu se očekivati:";"Kada je vazduhoplov unutar prostora od 10 nm od oblaka";"Samo kada je vazduhoplov unutar oblaka";"Samo kada je vazduhoplov unutar ili na donjoj strani oblaka";"Kada je vazduhoplov unutar prostora od 5 nm od oblaka";"a";"Meteorologija"
"70";"Rizične situacije faze zrelosti ćelije grmljavinske nepogode uključuju munje, turbulenciju i:";"Zaleđivanje, mikroizlive-pijavice(izlivi na donjoj strani) i smicanje vetra";"Mikroizlivi,smicanje vetra i pojavu oblaka kumuluskongestus";"Zaleđivanje, rosulju i mikroizlivi";"Smicanje vetra,grad i maglu";"a";"Meteorologija"
"71";"Objavljen vetar na nivou 2000 ft iznad aerodroma je 330/15kt. Koristeći pravilo desnog palca , koja je očekivana vrednost vetra na površini zemlje?";"305/07kt.";"305/30kt";"355/30kt.";"315/30kt.";"a";"Meteorologija"
"72";"Koriolisova sila na Severnoj hemisferi će prouzrokovati kretanje vazduha koji naizgled skreće:";"Desno i prouzrokuje geostafski vetar koji ima pravac paralelno sa izobarama do visine od oko 2000 ft agl.";"Levo i prouzrokuje vetar koji ima pravac paralelno sa izobarama do visine od oko 2000 ft agl.";"Levo i prouzrokuje vetar koji duva polako po izobarama do visine od oko 2000 ft agl.";"Desno i prouzrokuje površan vetar koji duva po izobarama do visine od oko 2000 ft agl.";"a";"Meteorologija"
"73";"Vetrovi koji duvaju oko oblasti anticiklona (sistem visokog pritiska) na nižim nivoima u Severnoj Hemisferi prikazani su na kartama niskog vazdušnog pritiska sa smerom duvanja:";"U smeru kazaljke na satu";"U smeru kazaljke na satu ukoliko je topao vazduh i u smeru suprotnom od kazaljke na satu ukoliko je hladan vazduh";"U smeru suprotnom od kazaljke na satu";"U smeru ciklona";"a";"Meteorologija"
"74";"Prizemni vetrovi na severnoj hemisferi koji duvaju u blizini depresije predstavljeni su na vremenskim kartama u :";"Smeru suprotnom od smera kretanja kazaljke na satu";"Smeru kretanja kazaljke na satu";"Smeru anticiklona";"Smeru kretanja kazaljke na satu ili smeru suprotnom od smera kretanja kazaljke na satu u zavisnosti da li je depresija ciklonska ili anticiklonska Najnovije informacije u vezi ispita možete pronaći na www.cad.gov.rs/osoblje.php 13 / 29 PPL - Vazduhoplovna meteorologija";"a";"Meteorologija"
"75";"Sa kojom pojavom je uslovljeno formiranje advektivne magle?";"Topla vlažna vazdušna masa biva ohlađena do temperature koja je manja od temperature tačke rose pod uticajem umerenog vetra prilikom kretanja iznad mnogo hladnije površine";"Hladna vlažna vazdušna masa biva zagrejana do temperature koja je veće temperature tačke rose pod uticajem umerenog vetra prilikom kretanja iznad mnogo toplije površine";"Topla vlažna vazdušna masa biva ohlađena do temperature koja je manja od temperature tačke rose pod uticajem vrlo laganog vetra prilikom kretanja iznad mnogo hladnije površine";"Pojava topla vlažne vazdušne masa pod uticajem veoma jakog vetra tokom vedre noći";"a";"Meteorologija"
"76";"Nizak nivo maglovitog sloja značajno smanjuje horizontalnu vidljivost prilikom letenja na visini od 2000 ft. Da bi povećali horizontalnu vidljivost neophodno je da?";"Letimo na većoj visini";"Letimo na manjoj visini";"Letimo na vrhu maglovitog sloja";"Upalimo strob svetla i svetla za sletanje";"a";"Meteorologija"
"77";"Koji od navedenih uslova su najpogodniji za formiranje radiacione magle?";"Visoka relativna vlažnost vazduha, slabi vetrovi i vedro nebo";"Visoka relativna vlažnost vazduha, umeren vetar i oblačno nebo";"Mala relativna vlažnost vazduha, slabi vetrovi i vedro nebo";"Visoka relativna vlažnost vazduha, slabi vetrovi i oblačno nebo";"a";"Meteorologija"
"78";"Iznad unutrašnjosti aerodroma objavljeno je postojanje radiacione magle tokom jutra. Kako se brzina vetra povećava do 10 kt može se očekivati:";"Magla se podiže i formira nizak stratus";"Smanjiće se sloj magle";"Doći će do razbijanja magle";"Povećanje maglene smeše, doprinoseći većom razvoju magle";"a";"Meteorologija"
"79";"Koje su karakteristike prolaza hladnog fronta?";"Temperatura tačke rose pada , temperatura vazduha pada, vetar ima smer u smeru kretanja kazaljke na satu";"Temperatura tačke rose raste, temperatura vazduha pada, vetar ima smer suprotan od smera kretanja kazaljke na satu";"Temperatura tačke rose raste, temperatura vazduha pada ,vetar ima smer u smeru kretanja kazaljke na satu";"Stabilna temperatura tačke rose i vazduha ali oštra promena smera vetra u smeru suprotnom od kazaljke na satu";"a";"Meteorologija"
"80";"Koja je aproksimativna brzina toplog fronta?";"Približno 2/3 brzine hladnog fronta";"Približno 1/3 brzine hladnog fronta";"Približno 1/2 brzine hladnog fronta";"Ima istu brzinu kao i hladan front Najnovije informacije u vezi ispita možete pronaći na www.cad.gov.rs/osoblje.php 14 / 29 PPL - Vazduhoplovna meteorologija";"a";"Meteorologija"
"81";"Oblačno je, primećeno je da je granularni tip leda prikupljen i isturen ispred napadne ivice aeroprofila. To je najverovatnije jedan od sledećih tipova leda:";"Hrapav-mutan led";"Proziran-gladak led";"Ledena kiša";"Inje";"a";"Meteorologija"
"82";"Šta će se dogoditi sa pravcem vetra na površini zemlje nakon prolaza toplog fronta?";"Vetar ima smer smeru kretanja kazaljke na satu";"Smer vetra ostaje nepromenjen";"Vetar ima smer u smeru suprotnom od kretanja kazaljke na satu";"Vetar ima smer u smeru kretanja kazaljke na satu pa nakon toga u smeru suprotnom od kretanja kazaljke na satu";"a";"Meteorologija"
"83";"Na kojem rastojanju ispred tipičnog toplog fronta se može naići na pojavu padavina?";"200 milja ispred položaja površine toplog fronta";"50 milja ispred položaja površine toplog fronta";"500 milja ispred položaja površine toplog fronta";"2 milje ispred položaja površine toplog fronta";"a";"Meteorologija"
"84";"Nagomilavanje leda na induktivnom sistemu klipnog motora je prouzrokovano:";"Podešavanjem male snage, velikom vlažnosti vazduha i toplim vazduhom";"Podešavanjem velike snage, umerenom vlažnosti vazduha i hladnim vazduha";"Podešavanjem male snage, malom vlažnosti i toplim vazduhom";"Podešavanjem velike snage, visokom vlažnosti i toplim vazduhom";"a";"Meteorologija"
"85";"Koji od navedenih frontalnih sistema najčešće prouzrokuje grmljavinske nepogode";"Hladan front";"Topli front";"Sistem raspodele vazdušnog pritiska - greben";"Kvazi-stacionarni front";"a";"Meteorologija"
"86";"Oblici prozirnog - glatkog leda su rezultat:";"Širenja velikih ohlađenih kapljica vode prilikom zamrzavanja";"Izobličenja ledenih zrnaca na vazduhoplovu";"Rasipanja malih ohlađenih kapljica vode na vazduhoplovu";"Zaleđivanja vodene pare na vazduhoplovu";"a";"Meteorologija"
"87";"Kakve bi trebale da budu promene u vremenu prilikom prolaska karakterisitčnog toplotnog fronta:";"Pad pritiska, 8 osmina oblačnosti sa malom visinom sloja baze oblaka i loša vidljivost";"Pritisak se smanjuje kontantno, ne više od 4 osmine oblačnosti , i dobra vidljivost";"Pritisak prestaje da pada, 4 osmine oblačnosti sa veoma niskom bazom oblaka i vrlo brzo poboljšanje vidljivosti";"Pad pritiska , 8 osmina oblačnosti sa malom visinom sloja baze oblaka i poboljšanje vidljivosti Najnovije informacije u vezi ispita možete pronaći na www.cad.gov.rs/osoblje.php 15 / 29 PPL - Vazduhoplovna meteorologija";"a";"Meteorologija"
"88";"Šta je glavni razlog činjenice da voda može da ostane u tečnom stanju pri temperaturi koja je manja od 0°C?";"Ne postoje jezgra zamrzavanja";"Ne postoje jezgra kondenzacije";"Neophodno je dosta vremena da bi se voda ohladila do temperature koja je manja 0°C";"Voda je higroskopna ( Voda upija vlagu)";"a";"Meteorologija"
"89";"Letite iznad nivoa hladnog vazduha, a tačno iznad vas je topli front. Ukoliko pada kiša , kakvu vrstu zaleđivanja možete očekivati?";"Kišu ili proziran-gladak led";"Karburatorski led";"Hrapav-mutan led";"Inje";"a";"Meteorologija"
"90";"Koji od ponuđenih odgovora predstavalja ispravno dešifrovan METAR izveštaj: METAR EGKL 130350Z 32005KT 0400N DZ BCFG VV002";"Osmotreni vremenski uslovi 13- tog dana tekućeg meseca u 03 50Z , pravac prizemnog vetra 320°u odnosu na pravi sever, brzina vetra 05kt, minimalna meteorološka vidljivost 400 m u pravcu severa, umerena sitna kiša, sa postojanjem maglovitih slojeva i vertikalnom vidljivošću 200ft";"Objavljeni vremenski uslovi 13- tog dana tekućeg meseca u 03 50Z, pravac prizemnog vetra 320°u odnosu na magnetni sever,brzina vetra 05kt,,minimalna meteorološka vidljivost 400 m u pravcu severa, umerena sitna kiša, sa postojanjem maglovitih slojeva i vertikalnom vidljivošću 200ft";"Validnost vremenskog izveštaja je 13 - tog dana tekućeg meseca između 0300 i 1500Z, pravac prizemnog vetra 320°u odnosu na pravi sever, brzina vetra 05kt, minimalna meteorološka vidljivost 400 m u pravcu severa, umerena sitna kiša, sa postojanjem maglovitih slojeva i vertikalnom vidljivošću 200ft";"Validnost vremenskog izveštaja je između 0300 i03 50Z pravac prizemnog vetra 320° u odnosu na pravi sever, brzina vetra 05kt, minimalna meteorološka vidljivost 400 m u pravcu severa, umerena sitna kiša, i vertikalna vidljivost 200ft";"a";"Meteorologija"
"91";"Kada se TREND nalazi na kraju METAR izveštaja ,on zapravo predstavlja vremensku prognozu koja je validna za:";"Period nakon 2 sata od vremena osmatranja";"Period nakon 1 sata od vremena osmatranja";"Period nakon 2 sata od vremena izdavanja izveštaja";"Period nakon 1 sata od vremena izdavanja izveštaja";"a";"Meteorologija"
"92";"Grupa vidljivosti R20/0050 u METAR izveštaju znači:";"Izmerena vidljivost, pomoću instrumenata(opreme) na PSS, duž PSS 20 iznosi 50 m";"Za PSS 20 , trenutna vidljivost je 500 m izmerena pomoću opreme (instrumenata) za merenje vidljivosti na PSS";"Objavljena vidljivost duž PSS je 50m, kao rezultat merenja vidljivosti duž PSS pomoću instrumenata /opreme za merenje vidljivosti u poslednjih 20 minuta";"Na PSS 20, trenutna vidljivost je manja od 5000m Najnovije informacije u vezi ispita možete pronaći na www.cad.gov.rs/osoblje.php 16 / 29 PPL - Vazduhoplovna meteorologija";"a";"Meteorologija"
"93";"Kod : ""BECMG FM 1100 -RASH"" u METAR izveštaju predstavlja :";"Nastanak, od 1100 UTC,umerenih kišnih pljuskova";"Od 1100 UTC,prestanak kišnih pljuskova";"Nastanak,od 1100 UTC,pljuskovi";"Nastanak,od 1100 UTC do 0000 UTC, umerenih kišnih pljuskova";"a";"Meteorologija"
"94";"Temperaturna grupa 28/24 u METAR izveštaju predstavlja:";"Osmotrena temperatura vazduha je 28°C , temperatura tačka rose je 24°C";"Osmotrena temperatura vazduha je 28°C u trenutku izveštavanja, ali se očekuje da temperatura vazduha bude 24°C do kraja TREND prognoze";"Temperatura mokrog termometra je 28°C i temperatura suvog termometra je 24°C.";"Osmotrena temperatura tačke rose je 28°C i osmotrena temperatura vazduha je 24°C";"a";"Meteorologija"
"95";"U dole navedenom METAR izveštaju izostavljena je visina baze sloja oblaka. Na kojoj visini možemo očekivati bazu sloja oblaka ukoliko postoji kumulus tip oblaka 28005KT9999 SCT??? 12/05 Q1020 NOSIG";"SCT028.";"SCT042.";"SCT020.";"SCT280.";"a";"Meteorologija"
"96";"Pod uslovom da minimalna sektorska visina nije ustanovljena, CAVKOK grupa u TAF prognozi ili METAR izveštaju znači da je:";"Vidljivost 10 km ili više, i da ne postoje oblaci ispod 5000 ft";"Vidljivost 10 km ili više, i mali broj oblaka ispod 5000 ft";"Vidljivost 10 nm ili više, bez oblaka ispod 5000 ft";"Vidljivost 10 nm ili više, bez rasprostranjenih oblaka ispod 5000 ft";"a";"Meteorologija"
"97";"Koji od navedenih odgovora predstavlja ispravno dešifrovanu TAF prognozu: LYBE 161100Z 1612/1712 VRB08KT9999 SCT025?";"Važi od 16.og u mesecu u 12.00 do 17.og u mesecu u 1200 UTC ; prizemni vetar će imati promenljiv pravac i brzinu od 8kt pri čemu je vidljivost 10km ili više; 3-4 osmine oblačnosti sa bazom sloja oblaka 2500ft iznad aerodroma";"Važi od 1612 do 1712 UTC ; prizemni vetar je promenljiv po pravcu sa brzinom od 8kt; vidljivost je 10km i više,visina baze sloja oblaka je 2500ft iznad srednjeg morskog nivoa";"Osmotreno u 1611 UTC; prizemni vetar je promenljiv po pravcu i brzini; prosečna brzina vetra je 8 kt: vidljivost 10 km ili više, i visina baze sloja oblaka iznad aerodromskog nivoa je 2500 ft.";"Osmotreno u 1612 UTC; prizemni vetar je promenljiv po pravcu i brzini; sa vidljivosti 10 km , visinom baze sloja oblaka 2500 ft iznad nivo terena Najnovije informacije u vezi ispita možete pronaći na www.cad.gov.rs/osoblje.php 17 / 29 PPL - Vazduhoplovna meteorologija";"a";"Meteorologija"
"98";"BECMG 1621/1701 BKN030 u TAF prognozi znači :";"Nastanak između 16. u mesecu u 2100 UTC i 17. u mesecu 0100UTC razbijene oblačnosti (5-7 osmina oblačnosti) na 3000 ft iznad aerodromskog nivoa";"Nastanak između 1621 UTC i 1701 UTC razbijene oblačnosti (3-4 osmina oblačnosti) na 300 ft iznad aerodromskog nivoa";"Nastanak od 1621 UTC razbijene oblačnosti (5-7 osmina oblačnosti) na 3000 ft iznad";"Nastanak od 1621 UTC razbijene oblačnosti (3-4 osmina oblačnosti) na 300 ft iznad aerodromskog nivoa";"a";"Meteorologija"
"99";"Na osnovu dijagrama odrediti na visini od 2000f t brzinu vetra i temperaturu za tačku u preseku 50°N 0° E/W (Pogledajte sliku PPL Meteo-1)";"215/13kt+11°C.";"200/12kt+11°C.";"220/13kt+12°C.";"180/20kt+10°C. PPL Meteo 1.jpg";"a";"Meteorologija"
"100";"Na osnovu dijagrama odrediti na visini od 5000ft brzinu vetra za tačku u preseku 50°N 0°EM: (Pogledajte sliku PPL Meteo-2)";"250/15kt.";"180/20kt.";"070/15kt.";"230/1Okt. PPL Meteo 2.jpg";"a";"Meteorologija"
"101";"Šta predstavlja simbol sa dijagrama na prognostičkim kartama? (Pogledajte sliku PPL Meteo-4)";"Grmljavinsku nepogodu";"Jaku turbulenciju";"Jako zaleđivanje";"Jake planinske talase PPL Meteo 4.jpg";"a";"Meteorologija"
"102";"Na osnovu dijagrama odrediti zonu koju navedena TAF prognoza opisuje(Pogledajte sliku PPL Meteo-5) 1322 35020KT9999 SCT030 SCT090 TEMPO 1322 8000 SHRA BKN015 PROB30 TEMPO 1522 5000 +RASH SCT008 BKN009CB=";"Zona 3";"Zona 1";"Zona 1 i 2";"Zona 2 i 4 PPL Meteo 5.jpg";"a";"Meteorologija"
"103";"Šta predstavlja simbol sa dijagrama na prognostičkim kartama? (Pogledajte sliku PPL Meteo-6)";"Jako zaleđivanje";"Jaku turbulenciju";"Jake planinske talase";"Grmljavinsku nepogodu PPL Meteo 6.jpg Najnovije informacije u vezi ispita možete pronaći na www.cad.gov.rs/osoblje.php 18 / 29 PPL - Vazduhoplovna meteorologija";"a";"Meteorologija"
"104";"Na osnovu dijagrama, odrediti pojavu koja je identifikovana sa slovom J u tački 60°N 12°W? (Pogledajte sliku PPL Meteo-10)";"Okluzivni front";"Topli front";"Kvazistacionaran front";"Tropski front PPL Meteo 10.jpg";"a";"Meteorologija"
"105";"Na osnovu karte značajnog vremena (male visine) , primećujemo sistem pritiska 50 stepeni severno, 1 stepen istočno, označen sa slovom “L”, strelicom i brojevima “20” i “988”. Šta predstavlja ovako definisan sistem pritiska? (Pogledajte sliku PPL Meteo-14)";"Ciklon sa centrom pritiska 988 mb, krećući se prema istoku brzinom 20kts.";"Ciklon sa centrom pritiska 988 mb, krećući se prema zapadu brzinom 20 kts.";"QFE pritisak u polju pritiska 988 mb";"Regionalni QNH pritisak od 988 mb PPL Meteo 14.jpg";"a";"Meteorologija"
"106";"Koliki je period važenja WAFC karte značajnog vremena?";"Određeno fiksno vreme";"6 sati";"3 sata";"30 minuta";"a";"Meteorologija"
"107";"Šta predstavlja oznaka ""CB"" na WAFC vremenskim kartama značajnog vremena?";"Umereno do jako zaleđivanje i turbulencija";"Umereno zaleđivanje i turbulencija";"Umereno do jako zaleđivanje , turbulencija i grad";"Jako zaleđivanje , turbulencija i grad";"a";"Meteorologija"
"108";"EGTT SIGMET SST 01 VALID 310730/311130 EGRR LONDON FIR ISOL CB FCST TOPS FL370 SST ROUTES W OF W00400 STNR NC = Šta predstavlja šifra ""SST"" u gore navedenoj SIGMET prognozi?";"Transonične i Supersonične nivoe leta.";"Samo supersonične nivoe leta";"Subsonične i transonične nivoe leta";"Samo subsonične nivoe leta";"a";"Meteorologija"
"109";"Vremenska prognoza za oblast AIRMET predstavlja prognozu vremena do?";"FL100.";"FL180.";"FL010.";"FL240. Najnovije informacije u vezi ispita možete pronaći na www.cad.gov.rs/osoblje.php 19 / 29 PPL - Vazduhoplovna meteorologija";"a";"Meteorologija"
"110";"LFFF SIGMET SST 1 VALID 310600/311100 LFPW- UIR FRANCE MOD TURB FCST BLW FL420 W of 04W MOV E 30KT NC = Koja od opasnosti je prognozirana u gore navedenoj SIGMET poruci";"Umerena turbulencija ispod 42000 ft zapadno od :zapadno 4 stepena i premešta se na istok";"Umerena turbulencija na 42000 ft zapadno od :zapadno 4 stepena i premešta se na istok";"Umerena turbulencija ispod 42000 ft zapadno od :zapadno 4 stepena i premešta se od istoka";"Turbulencija na 42000 ft zapadno od :zapadno 4 stepena i premešta se brzinom 30 kt";"a";"Meteorologija"
"111";"Kada se prognozira jak vetar u AIRMET prognozi?";"Kada se očekuje brzina vetra veća od 20kt.";"Kada se očekuje brzina vetra veća od 10kt";"Kada se očekuje brzina vetra veća od 15 kt";"Kada se očekuje da brzina najjačeg vetra bude veća od 25 kt";"a";"Meteorologija"
"112";"Prognoza za oblast AIRMET se izdaje _________ period važenja je _________ a poželjno je da period važenja ne bude duži od __________";"4 puta dnevno / 8 sati / 6 sati";"6 puta dnevno / 8 sati / 4 sata";"4 puta dnevno / 6 sati / 4 sata";"6 puta dnevno / 4 sati / 4 sata";"a";"Meteorologija"
"113";"VOLMET emisije se obnavljaju?";"Na svakih pola sata";"Svaki sat";"4 puta dnevno";"2 puta dnevno";"a";"Meteorologija"
"114";"VOLMET emisije se definišu kao :";"Neprekidne radio emisije aktuelnih meteoroloških osmatranja i prognoza na određenom aerodromu";"Radio emisija meteorološke prognoze na određenom aerodromu";"Kontinuirani telefonski izveštaj na određenom aerodromu- metars";"Telegrafski izveštaj na određenom aerodromu tafs i metars";"a";"Meteorologija"
"115";"VOLMET emisije su?";"Zemlja-vazduh radio emisije na HF I VHF frekvencijama";"Vazduh – zemlja radio emisije na HF I VHF frekvencijama";"Vazduh – zemlja radio emisije na HF I VHF frekvencijama";"Zemlja-vazduh radio emisije na LF I VHF frekvencijama Najnovije informacije u vezi ispita možete pronaći na www.cad.gov.rs/osoblje.php 20 / 29 PPL - Vazduhoplovna meteorologija";"a";"Meteorologija"
"116";"ATIS emisije se obnavljaju";"Kada dođe do bilo kakve promene aerodromskih ili meteoroloških informacija";"Samo kada dođe do promene aerodromske informacije";"Na svakih pola sata";"Na svaki sat";"a";"Meteorologija"
"117";"Da bi se minimiziralo zauzetost VHF frekvencije, ATIS emisije mogu se obaviti na govornoj frekvenciji kojeg navigacionog sredstva?";"VOR.";"ILS.";"NDB.";"GPS.";"a";"Meteorologija"
"118";"Šta je ATIS?";"Neprekidno emitovanje tekuće aerodromske i vremenske informacije";"Meteorološka karta aerodromske i vremenske informacije";"Neprekidno emitovanje informacije o vremenu";"Štampani izveštaj informacije o aerodromu i vremenu";"a";"Meteorologija"
"119";"Na koji način se vrši identifikacija trenutnog izveštaja prilikom ATIS emisije ?";"Pomoću Alfabet koda";"Pomoću broja";"Pomoću perioda važenja izveštaja";"Pomoću vremena izdavanja izveštaja";"a";"Meteorologija"
"120";"Na kojem frekventnom opsegu se obično emituje ATIS ?";"VHF.";"LF.";"HF.";"ADR";"a";"Meteorologija"
"121";"Kolika je temperatura vazduha na visini 7000 ft, ako je temperatura vazduha na nadmorskoj visini 1.500 ft 15°C i ako pretpostavimo da važi vertikalni termički gradijent ISA (ICAO):";"+3°C";"+4°C";"3. 0°C";"-2°C";"a";"Meteorologija"
